%%TimeStamp	dp_x	dp_y	dp_z	dv_x	dv_y	dv_z	dq_x	dq_y	dq_z	dq_w	Dp_x	Dp_y	Dp_z	Dv_x	Dv_y	Dv_z	Dq_x	Dq_y	Dq_z	Dq_w	X_x	X_y	X_z	Xv_x	Xv_y	Xv_z	Xq_x	Xq_y	Xq_z	Xq_w	
0.001	-5.0014e-10	-4.00066e-09	-3.99932e-09	-1.00028e-06	-8.00132e-06	-7.99863e-06	8.72665e-05	1.74533e-05	3.49066e-05	1	0.000999999	0.002	0.002	0.999999	2.00001	2.00001	1	-3.49066e-05	1.74533e-05	-8.72665e-05	0.002	-4.00066e-09	-4.904e-06	2	-8.00132e-06	-0.009808	-8.72665e-05	-1.74533e-05	-3.49066e-05	-1
0.002	-1.00056e-09	-8.00265e-09	-7.99725e-09	-2.00112e-06	-1.60053e-05	-1.59945e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.002	0.00400002	0.00400002	0.999997	2.00002	2.00002	1	-6.98132e-05	3.49066e-05	-0.000174533	0.004	-2.00033e-08	-1.962e-05	2	-2.4004e-05	-0.019624	-0.000174533	-3.49066e-05	-6.98132e-05	-1
0.003	-1.50125e-09	-1.20059e-08	-1.19938e-08	-3.00251e-06	-2.40118e-05	-2.39876e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00299999	0.00600006	0.00600006	0.999994	2.00005	2.00005	1	-0.00010472	5.23599e-05	-0.000261799	0.00599999	-5.60092e-08	-4.4156e-05	1.99999	-4.80078e-05	-0.029448	-0.000261799	-5.23599e-05	-0.00010472	-1
0.004	-2.00223e-09	-1.60105e-08	-1.59889e-08	-4.00446e-06	-3.20209e-05	-3.19779e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00399998	0.00800012	0.00800012	0.99999	2.00008	2.00008	1	-0.000139626	6.98132e-05	-0.000349066	0.00799998	-1.2002e-07	-7.852e-05	1.99999	-8.00128e-05	-0.03928	-0.000349066	-6.98132e-05	-0.000139626	-1
0.005	-2.50349e-09	-2.00162e-08	-1.99827e-08	-5.00697e-06	-4.00325e-05	-3.99653e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00499997	0.0100002	0.0100002	0.999985	2.00012	2.00012	1	-0.000174533	8.72665e-05	-0.000436332	0.00999997	-2.20035e-07	-0.00012272	1.99998	-0.000120019	-0.04912	-0.000436332	-8.72665e-05	-0.000174533	-1
0.006	-3.00502e-09	-2.40233e-08	-2.39749e-08	-6.01003e-06	-4.80466e-05	-4.79498e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00599995	0.0120004	0.0120004	0.999979	2.00017	2.00017	1	-0.00020944	0.00010472	-0.000523599	0.012	-3.64058e-07	-0.000176764	1.99998	-0.000168026	-0.058968	-0.000523599	-0.00010472	-0.00020944	-1
0.007	-3.50683e-09	-2.80316e-08	-2.79657e-08	-7.01365e-06	-5.60631e-05	-5.59314e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00699993	0.0140006	0.0140006	0.999972	2.00022	2.00022	1	-0.000244346	0.000122173	-0.000610865	0.0139999	-5.60087e-07	-0.00024066	1.99997	-0.000224033	-0.068824	-0.000610865	-0.000122173	-0.000244346	-1
0.008	-4.00891e-09	-3.20411e-08	-3.1955e-08	-8.01782e-06	-6.40821e-05	-6.39101e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0079999	0.0160008	0.0160008	0.999964	2.00029	2.00029	1	-0.000279253	0.000139626	-0.000698132	0.0159999	-8.16124e-07	-0.000314416	1.99996	-0.000288041	-0.0786879	-0.000698132	-0.000139626	-0.000279253	-1
0.009	-4.51127e-09	-3.60517e-08	-3.59429e-08	-9.02255e-06	-7.21035e-05	-7.18858e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00899986	0.0180011	0.0180011	0.999955	2.00036	2.00036	1	-0.000314159	0.00015708	-0.000785398	0.0179999	-1.14017e-06	-0.00039804	1.99995	-0.000360049	-0.0885599	-0.000785398	-0.00015708	-0.000314159	-1
0.01	-5.0139e-09	-4.00636e-08	-3.99292e-08	-1.00278e-05	-8.01272e-05	-7.98584e-05	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00999981	0.0200015	0.0200015	0.999945	2.00044	2.00044	1	-0.000349066	0.000174533	-0.000872665	0.0199998	-1.54022e-06	-0.00049154	1.99994	-0.000440057	-0.0984399	-0.000872665	-0.000174533	-0.000349066	-1
