%%TimeStamp	dp_x	dp_y	dp_z	dv_x	dv_y	dv_z	dq_x	dq_y	dq_z	dq_w	Dp_x	Dp_y	Dp_z	Dv_x	Dv_y	Dv_z	Dq_x	Dq_y	Dq_z	Dq_w	X_x	X_y	X_z	Xv_x	Xv_y	Xv_z	Xq_x	Xq_y	Xq_z	Xq_w	
0.013	-8.74425e-09	-4.0976e-08	4.85311e-06	-1.74885e-05	-8.1952e-05	0.00970622	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0129996	0.0260031	0.0251743	0.999905	2.00071	1.8732	0.999999	-0.000453786	0.000226893	-0.00113446	0.0259996	-3.13174e-06	-2.43047e-06	1.9999	-0.000705818	-0.000597847	-0.00113446	-0.000226893	-0.000453786	-0.999999
0.014	-9.4184e-09	-4.41362e-08	4.84913e-06	-1.88368e-05	-8.82723e-05	0.00969825	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0139995	0.0280039	0.0270427	0.99989	2.00082	1.8635	0.999999	-0.000488692	0.000244346	-0.00122173	0.0279995	-3.89271e-06	-3.0793e-06	1.99989	-0.00081611	-0.000699814	-0.00122173	-0.000244346	-0.000488692	-0.999999
0.015	-1.00927e-08	-4.72974e-08	4.84514e-06	-2.01855e-05	-9.45948e-05	0.00969029	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0149993	0.0300048	0.0289013	0.999875	2.00093	1.85381	0.999999	-0.000523599	0.000261799	-0.001309	0.0299993	-4.76796e-06	-3.83409e-06	1.99987	-0.0009344	-0.000809776	-0.001309	-0.000261799	-0.000523599	-0.999999
0.016	-1.07674e-08	-5.04595e-08	4.84117e-06	-2.15347e-05	-0.000100919	0.00968233	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0159992	0.0320058	0.0307503	0.999858	2.00106	1.84413	0.999999	-0.000558505	0.000279253	-0.00139626	0.0319992	-5.76551e-06	-4.70285e-06	1.99986	-0.00106069	-0.000927733	-0.00139626	-0.000279253	-0.000558505	-0.999999
0.017	-1.14422e-08	-5.3623e-08	4.83719e-06	-2.28843e-05	-0.000107246	0.00967438	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0169991	0.0340069	0.0325896	0.999841	2.00119	1.83445	0.999999	-0.000593412	0.000296706	-0.00148353	0.0339991	-6.89333e-06	-5.69355e-06	1.99984	-0.00119497	-0.00105368	-0.00148353	-0.000296706	-0.000593412	-0.999999
0.018	-1.21171e-08	-5.67875e-08	4.83321e-06	-2.42343e-05	-0.000113575	0.00966642	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0179989	0.0360082	0.0344192	0.999823	2.00134	1.82479	0.999999	-0.000628318	0.000314159	-0.0015708	0.0359989	-8.15945e-06	-6.8142e-06	1.99982	-0.00133725	-0.00118763	-0.0015708	-0.000314159	-0.000628318	-0.999999
0.019	-1.27924e-08	-5.9953e-08	4.82924e-06	-2.55848e-05	-0.000119906	0.00965847	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0189987	0.0380096	0.0362392	0.999803	2.00149	1.81513	0.999998	-0.000663225	0.000331613	-0.00165806	0.0379987	-9.57183e-06	-8.0728e-06	1.9998	-0.00148753	-0.00132957	-0.00165806	-0.000331613	-0.000663225	-0.999998
0.02	-1.34678e-08	-6.31195e-08	4.82527e-06	-2.69356e-05	-0.000126239	0.00965053	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0199985	0.0400111	0.0380495	0.999783	2.00165	1.80548	0.999998	-0.000698132	0.000349066	-0.00174533	0.0399985	-1.11385e-05	-9.47733e-06	1.99978	-0.0016458	-0.00147949	-0.00174533	-0.000349066	-0.000698132	-0.999998
0.021	-1.41435e-08	-6.6287e-08	4.82129e-06	-2.82869e-05	-0.000132574	0.00964258	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0209983	0.0420129	0.0398501	0.999762	2.00181	1.79584	0.999998	-0.000733038	0.000366519	-0.0018326	0.0419983	-1.28674e-05	-1.10358e-05	1.99976	-0.00181207	-0.00163742	-0.0018326	-0.000366519	-0.000733038	-0.999998
0.022	-1.48193e-08	-6.9455e-08	4.81732e-06	-2.96387e-05	-0.00013891	0.00963464	8.72665e-05	1.74533e-05	3.49066e-05	1	0.021998	0.0440148	0.0416412	0.999739	2.00199	1.7862	0.999998	-0.000767945	0.000383972	-0.00191986	0.043998	-1.47666e-05	-1.27562e-05	1.99974	-0.00198633	-0.00180333	-0.00191986	-0.000383972	-0.000767945	-0.999998
