%%TimeStamp	dp_x	dp_y	dp_z	dv_x	dv_y	dv_z	dq_x	dq_y	dq_z	dq_w	Dp_x	Dp_y	Dp_z	Dv_x	Dv_y	Dv_z	Dq_x	Dq_y	Dq_z	Dq_w	X_x	X_y	X_z	Xv_x	Xv_y	Xv_z	Xq_x	Xq_y	Xq_z	Xq_w	
0.001	-5.0014e-10	-4.00066e-09	-4.49932e-09	-1.00028e-06	-8.00132e-06	-8.99863e-06	8.72665e-05	1.74533e-05	3.39066e-05	1	-5.0014e-10	-4.00066e-09	-4.49932e-09	-1.00028e-06	-8.00132e-06	-8.99863e-06	8.72665e-05	1.74533e-05	3.39066e-05	1	-5.0014e-10	4.00066e-09	-4.8955e-06	-1.00028e-06	8.00132e-06	-0.009791	1	-3.39066e-05	1.74533e-05	-8.72665e-05
0.002	-1.00056e-09	-8.00265e-09	-8.49725e-09	-2.00112e-06	-1.60053e-05	-1.69945e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-2.50073e-09	-2.00032e-08	-2.19966e-08	-3.00091e-06	-2.40038e-05	-2.59959e-05	0.000174533	3.49066e-05	6.78132e-05	1	-2.50073e-09	2.00032e-08	-1.9578e-05	-3.00091e-06	2.40038e-05	-0.019574	1	-6.78132e-05	3.49066e-05	-0.000174533
0.003	-1.50125e-09	-1.20059e-08	-1.24938e-08	-3.00251e-06	-2.40118e-05	-2.49876e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-7.00214e-09	-5.60087e-08	-6.04903e-08	-6.00191e-06	-4.80073e-05	-5.09916e-05	0.000261799	5.23599e-05	0.00010172	1	-7.00214e-09	5.60087e-08	-4.40395e-05	-6.00191e-06	4.80073e-05	-0.029349	1	-0.00010172	5.23599e-05	-0.000261799
0.004	-2.00223e-09	-1.60105e-08	-1.6489e-08	-4.00446e-06	-3.20209e-05	-3.29779e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-1.50047e-08	-1.20018e-07	-1.27979e-07	-1.00033e-05	-8.00117e-05	-8.39859e-05	0.000349066	6.98132e-05	0.000135626	1	-1.50047e-08	1.20018e-07	-7.8272e-05	-1.00033e-05	8.00117e-05	-0.039116	1	-0.000135626	6.98132e-05	-0.000349066
0.005	-2.50349e-09	-2.00162e-08	-2.04827e-08	-5.00697e-06	-4.00325e-05	-4.09653e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-2.7509e-08	-2.20033e-07	-2.32461e-07	-1.50051e-05	-0.000120017	-0.000124978	0.000436332	8.72665e-05	0.000169533	1	-2.7509e-08	2.20033e-07	-0.000122268	-1.50051e-05	0.000120017	-0.048875	1	-0.000169533	8.72665e-05	-0.000436332
0.006	-3.00502e-09	-2.40233e-08	-2.44749e-08	-6.01003e-06	-4.80466e-05	-4.89498e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-4.55153e-08	-3.64052e-07	-3.81935e-07	-2.10074e-05	-0.000168023	-0.000173969	0.000523599	0.00010472	0.00020344	1	-4.55153e-08	3.64052e-07	-0.000176018	-2.10074e-05	0.000168023	-0.058626	1	-0.00020344	0.00010472	-0.000523599
0.007	-3.50683e-09	-2.80316e-08	-2.84657e-08	-7.01365e-06	-5.60631e-05	-5.69314e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-7.00241e-08	-5.60079e-07	-5.84398e-07	-2.80102e-05	-0.000224029	-0.000230958	0.000610865	0.000122173	0.000237346	1	-7.00241e-08	5.60079e-07	-0.000239516	-2.80102e-05	0.000224029	-0.068369	1	-0.000237346	0.000122173	-0.000610865
0.008	-4.00891e-09	-3.20411e-08	-3.2455e-08	-8.01782e-06	-6.40821e-05	-6.49101e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-1.02036e-07	-8.16111e-07	-8.47849e-07	-3.60135e-05	-0.000288036	-0.000295944	0.000698132	0.000139626	0.000271253	1	-1.02036e-07	8.16111e-07	-0.000312752	-3.60135e-05	0.000288036	-0.0781041	1	-0.000271253	0.000139626	-0.000698132
0.009	-4.51127e-09	-3.60517e-08	-3.64429e-08	-9.02255e-06	-7.21035e-05	-7.28858e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-1.42551e-07	-1.14015e-06	-1.18029e-06	-4.50173e-05	-0.000360042	-0.000368928	0.000785398	0.00015708	0.000305159	1	-1.42551e-07	1.14015e-06	-0.00039572	-4.50173e-05	0.000360042	-0.0878311	1	-0.000305159	0.00015708	-0.000785398
0.01	-5.0139e-09	-4.00636e-08	-4.04292e-08	-1.00278e-05	-8.01272e-05	-8.08584e-05	8.72665e-05	1.74533e-05	3.39066e-05	1	-1.92571e-07	-1.5402e-06	-1.5897e-06	-5.50217e-05	-0.000440048	-0.000449909	0.000872665	0.000174533	0.000339066	1	-1.92571e-07	1.5402e-06	-0.00048841	-5.50217e-05	0.000440048	-0.0975501	1	-0.000339066	0.000174533	-0.000872665
